/* COLUMN_NAME	 COLNO	 NULLS	 PK	 DATA_TYPE	DEFAULTVALUE
SCHESAP.ACCOUNT_EXTERNAL_REF
PPL_DISBURSMNT_DT	13	Y	N	DATE    	
PPL_START_DT	14	N	N	DATE    	
PPL_INT_RATE	15	N	N	DECIMAL (10,5)	
PPL_TAX_RATE	16	N	N	DECIMAL (10,5)	
PPL_FUND_RATE	17	N	N	DECIMAL (10,5)	
PPL_AVG_DURATION	18	Y	N	DECIMAL (10,5)	
PPL_MTR_TIME	19	Y	N	INTEGER 	
PPL_MTR_DAY_COUNT	20	Y	N	INTEGER 	
PPL_PER_SCALE	21	N	N	INTEGER 	
PPL_TAX_FREE_TERMS	22	Y	N	INTEGER 	
PPL_PLAN_TYPE	23	N	N	INTEGER 	
PPL_TAX_CODE	24	N	N	SMALLINT	
PPL_FUND_CODE	25	N	N	SMALLINT	
PPL_REASON_CODE	26	Y	N	CHAR    (1)	
PPL_ST	27	N	N	CHAR    (1)	
PPL_CREATE_TSTP	28	N	N	TIMESTMP	
PPL_UPD_TSTP	29	N	N	TIMESTMP	
PPL_PREV_VERSION	30	N	N	SMALLINT	
PPL_INT_RATE_OPT	31	N	N	CHAR    (1)	
PPL_APPR_UNIT	32	N	N	CHAR    (1)	
PPL_APPR_CODE	33	N	N	CHAR    (2)	
PPL_ROOT_PLAN_ID	34	N	N	BIGINT 
SCLOAN.PP_INSTALLMENT 	
INST_PLAN_ID	1	N	Y	BIGINT  	
INST_VERSION_NO	2	N	Y	SMALLINT	
INST_INSTALLMENT_NO	3	N	Y	INTEGER 	
INST_INSTALLMENT_TYPE	4	Y	N	CHAR    (1)	
INST_INSTALLMENT_DT	5	N	N	DATE    	
INST_INTERVAL	6	Y	N	INTEGER 	
INST_INT_AMT	7	N	N	DECIMAL (18,2)	
INST_TAX_AMT	8	N	N	DECIMAL (18,2)	
INST_FUND_AMT	9	N	N	DECIMAL (18,2)	
INST_CAPITAL_AMT	10	N	N	DECIMAL (18,2)	
INST_REMAINING_CAPITAL_AM...	11	N	N	DECIMAL (18,2)	
INST_INSTALLMENT_AMT	12	N	N	DECIMAL (18,2)	
INST_INSTALLMENT_RATIO	13	Y	N	INTEGER 	
INST_INCR_DECREASE_F	14	Y	N	CHAR    (1)	
INST_PYMT_TYPE	15	Y	N	CHAR    (1)	
INST_POSTPONE_F	16	Y	N	CHAR    (1)	
INST_PYMT_ST	17	N	N	CHAR    (1)	
INST_AGREEMENT_F	18	Y	N	CHAR    (1)	
INST_PYMT_TYPE_ORDR	19	Y	N	SMALLINT	
INST_PYMT_DT	20	Y	N	DATE    	
INST_COMMSN_AMT	21	Y	N	DECIMAL (18,2)	
INST_COMMSN_TAX	22	Y	N	DECIMAL (18,2)	
INST_COMMSN_FUND	23	Y	N	DECIMAL (18,2)
SCLOAN.PP_ACCRUED_PAYMENTS
PPA_PART_INDEX	1	N	Y	SMALLINT	
PPA_PYMT_ID	2	N	Y	BIGINT  	
PPA_PYMT_PLAN_ID	3	N	N	BIGINT  	
PPA_INSTALLMENT_NO	4	N	N	INTEGER 	
PPA_VERSION	5	N	N	SMALLINT	
PPA_INDEX	6	N	N	INTEGER 	
PPA_TYPE_ID	7	N	N	SMALLINT	
PPA_SEQ_NO	8	N	N	INTEGER 	
PPA_ST	9	N	N	CHAR    (1)	
PPA_PYMT_DT	10	N	N	DATE    	
PPA_PYMT_TYPE	11	N	N	CHAR    (1)	
PPA_INT_RATE	12	N	N	DECIMAL (10,5)	
PPA_REF_CODE	13	N	N	CHAR    (15)	
PPA_TSTP	14	N	N	TIMESTMP	
PPA_CRY_RATE	15	N	N	DECIMAL (14,7)	
PPA_TRX_ID	16	N	N	CHAR    (50)	
PPA_AMT	17	N	N	DECIMAL (18,2)	
PPA_PYMT_DETAIL	18	Y	N	CHAR    (1)
LOI_ID	1	N	Y	BIGINT  	
LOI_CUSTOMER_NO	2	N	N	INTEGER 	
LOI_SCOPE_CODE	3	N	N	SMALLINT	
LOI_ACCOUNT_ID	4	Y	N	BIGINT  	
LOI_ACCOUNT_NUMBER	5	Y	N	CHAR    (15)	
LOI_ACCOUNT_TYPE	6	N	N	CHAR    (1)	
LOI_CURRENCY_CODE	7	Y	N	SMALLINT	
LOI_CREDIT_BALANCE	8	N	N	DECIMAL (18,2)	
LOI_STATUS	9	N	N	CHAR    (1)	
LOI_CREATE_USER	10	N	N	CHAR    (8)	
LOI_CREATE_TIME	11	N	N	TIMESTMP	
LOI_UPDATE_USER	12	Y	N	CHAR    (8)	
LOI_UPDATE_TIME	13	N	N	TIMESTMP	
LOI_NOTIF_STATUS	14	Y	N	CHAR    (1)
NOT_ID	1	N	Y	BIGINT  	
NOT_LOI_ID	2	N	N	BIGINT  	
NOT_TRX_AMOUNT	3	N	N	DECIMAL (18,2)	
NOT_TYPE	4	N	N	CHAR    (1)	
NOT_STATUS	5	N	N	CHAR    (1)	
NOT_DESC	6	Y	N	VARCHAR (250)	
NOT_CREATE_USER	7	N	N	CHAR    (8)	
NOT_CREATE_TIME	8	N	N	TIMESTMP	
NOT_UPDATE_USER	9	Y	N	CHAR    (8)	
NOT_UPDATE_TIME	10	N	N	TIMESTMP
PPO_PLAN_ID	1	N	Y	BIGINT  	
PPO_VERSION_NO	2	N	Y	SMALLINT	
PPO_INSTALLMENT_NO	3	N	Y	INTEGER 	
PPO_ACCRUAL_DT	4	N	N	DATE    	
PPO_EXCH_RATE	5	N	N	DECIMAL (14,7)	
PPO_REASON_CODE	6	N	N	CHAR    (1)
*/
